denoise_threshold,denoise_method,median_kernel,gaussian_kernel,clahe_trigger,clahe_cliplimit,clahe_tile,binarize_median,binarize_blocksize,binarize_c,binarize_method,line_ratio_thresh,line_removal,line_dilation,line_dilation_iter,avg_cer,avg_wer
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,25,mean_c,0.001,"(10, 40)","(2, 2)",2,15.2106,43.8172
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,25,mean_c,0.001,"(10, 40)","(3, 3)",1,10.0061,25.8761
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,25,mean_c,0.001,"(10, 40)","(3, 3)",2,9.0756,23.8344
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,25,mean_c,0.001,"(10, 40)","(5, 5)",1,9.0756,23.8344
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,25,mean_c,0.001,"(10, 40)","(5, 5)",2,9.1244,25.2306
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,25,mean_c,0.001,"(10, 50)","(2, 2)",1,15.0956,41.0961
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,25,mean_c,0.001,"(10, 50)","(2, 2)",2,15.79,42.6194
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,25,mean_c,0.001,"(10, 50)","(3, 3)",1,9.1444,23.9222
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,25,mean_c,0.001,"(10, 50)","(3, 3)",2,9.6583,26.1328
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,25,mean_c,0.001,"(10, 50)","(5, 5)",1,9.6583,26.1328
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,25,mean_c,0.001,"(10, 50)","(5, 5)",2,10.3106,27.5644
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,25,mean_c,0.003,"(10, 40)","(2, 2)",1,15.8289,43.7417
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,25,mean_c,0.003,"(10, 40)","(2, 2)",2,15.2106,43.8172
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,25,mean_c,0.003,"(10, 40)","(3, 3)",1,10.0061,25.8761
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,25,mean_c,0.003,"(10, 40)","(3, 3)",2,9.0661,23.7683
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,25,mean_c,0.003,"(10, 40)","(5, 5)",1,9.0661,23.7683
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,25,mean_c,0.003,"(10, 40)","(5, 5)",2,9.11,25.1311
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,25,mean_c,0.003,"(10, 50)","(2, 2)",1,15.0639,40.9444
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,25,mean_c,0.003,"(10, 50)","(2, 2)",2,15.7511,42.4494
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,25,mean_c,0.003,"(10, 50)","(3, 3)",1,9.1033,23.7706
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,25,mean_c,0.003,"(10, 50)","(3, 3)",2,9.6144,25.89
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,25,mean_c,0.003,"(10, 50)","(5, 5)",1,9.6144,25.89
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,25,mean_c,0.003,"(10, 50)","(5, 5)",2,10.2589,27.3233
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,25,mean_c,0.005,"(10, 40)","(2, 2)",1,15.5678,43.3967
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,25,mean_c,0.005,"(10, 40)","(2, 2)",2,15.0067,43.4783
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,25,mean_c,0.005,"(10, 40)","(3, 3)",1,9.86,25.8478
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,25,mean_c,0.005,"(10, 40)","(3, 3)",2,8.9428,23.7928
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,25,mean_c,0.005,"(10, 40)","(5, 5)",1,8.9428,23.7928
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,25,mean_c,0.005,"(10, 40)","(5, 5)",2,9.0611,25.1283
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,25,mean_c,0.005,"(10, 50)","(2, 2)",1,14.9972,40.9728
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,25,mean_c,0.005,"(10, 50)","(2, 2)",2,15.7,42.6317
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,25,mean_c,0.005,"(10, 50)","(3, 3)",1,9.0978,24.0089
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,25,mean_c,0.005,"(10, 50)","(3, 3)",2,9.5856,26.0739
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,25,mean_c,0.005,"(10, 50)","(5, 5)",1,9.5856,26.0739
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,25,mean_c,0.005,"(10, 50)","(5, 5)",2,10.1317,27.2161
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,30,gaussian_c,0.001,"(10, 40)","(2, 2)",1,14.6733,41.4428
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,30,gaussian_c,0.001,"(10, 40)","(2, 2)",2,14.3317,40.9044
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,30,gaussian_c,0.001,"(10, 40)","(3, 3)",1,9.0711,24.1567
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,30,gaussian_c,0.001,"(10, 40)","(3, 3)",2,8.1728,22.2811
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,30,gaussian_c,0.001,"(10, 40)","(5, 5)",1,8.1728,22.2811
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,30,gaussian_c,0.001,"(10, 40)","(5, 5)",2,8.6339,23.7522
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,30,gaussian_c,0.001,"(10, 50)","(2, 2)",1,14.1417,40.6272
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,30,gaussian_c,0.001,"(10, 50)","(2, 2)",2,13.6361,38.9283
